n,p,ak,bk,bs,k0,k1
4,5,0.020418981051227282,0.21687590713003363,0.7099591540489482,0.2910315910478114,0.3072124499386238
4,4,0.014984003368083792,0.45380170845178536,0.7625269166174309,0.6626132124833124,0.6787600631481604
4,2,0.03155780015963574,0.22494803151456844,0.7832678026962963,0.4706573003748672,0.7184667984587587
4,5,0.02722337651385832,0.46273987170327835,0.8088527497730637,0.6412065733820005,0.6137542528585431
5,3,0.004761630104506547,0.14754421731612755,0.8864983521968244,0.3917164335409724,0.6661371270163756
2,5,0.005545671748464723,0.22667120291387133,0.8425399873270063,0.6104173589575602,0.586381652963583
3,4,0.005913499816947831,0.4723511708337526,0.7208213814959209,0.5761794494330035,0.5460389433410446
3,5,0.007993855731982073,0.27129406345300006,0.7421546408040629,0.5774194131291033,0.7533697171827778
4,5,0.047570553438324455,0.3323153821792352,0.6765820526392401,0.6368107581133626,0.7256252967401575
2,4,0.003873308810847428,0.4155150904929974,0.8517196409787746,0.6841955781470856,0.5632767004973055
3,4,0.018882804545277285,0.30861281706482674,0.6731054103660102,0.33630291684928426,0.301715652689426
3,5,0.006005829428877496,0.3631341301381494,0.8709610425319532,0.7691407272880448,0.7753886773038055
4,5,0.008236159133809779,0.3749782860278002,0.7851430375644752,0.6703802387717275,0.7775262261556446
3,5,0.00456679418439001,0.209102868402534,0.9245108654575821,0.7492933852495598,0.7800590409398724
5,4,0.013940870902955874,0.1844428813950505,0.7975449138667365,0.42771225123408957,0.6437063370247676
4,5,0.03324044126696762,0.36148527769077793,0.7630012942908057,0.7104644139457883,0.7746988070353089
5,4,0.0041860563111420085,0.2619704412288654,0.9070020500108458,0.43114627537789024,0.486419487219783
4,5,0.010825869464240082,0.14211692978035462,0.8544158579655838,0.4080903501969515,0.6275617444287138
2,4,0.0015918500939184784,0.2500789320837364,0.8877090784829679,0.7142255788317295,0.7819076044048425
5,5,0.011274342551807672,0.2889195271320942,0.7166981663506021,0.5039987626154394,0.6434467037664334
4,4,0.02229795084082557,0.32585094874192594,0.7805671948866975,0.5618287789022118,0.6385139682545654
4,5,0.015125154895334995,0.18227318573556295,0.8501551548741203,0.5160635386083168,0.6834744193018079
4,5,0.028560118030508272,0.3462616747272693,0.716985506076078,0.4098808700380346,0.38854185897514226
3,5,0.01940413358190579,0.47911439997426514,0.777433239612203,0.6980657383510224,0.6112215392423405
4,4,0.008961638040740492,0.2431198035412217,0.6626264803569819,0.42354818327632293,0.6440723979988401
2,4,0.001535183808228275,0.4666771508097844,0.8594083671428987,0.7815307601170882,0.4719977889193153
3,3,0.0019623558840703584,0.19595362592144794,0.946315787737589,0.36294042814714894,0.39945941279493025
5,5,0.004888001016859373,0.23584401349899192,0.9193561926243097,0.5269369896795355,0.6803884292609832
4,4,0.022137452508205598,0.33384491334277033,0.6908283793477555,0.5963649130144992,0.7604581363854488
5,4,0.005131671909102018,0.21143741586798015,0.9522743673556844,0.552994532593597,0.7354675747983086
5,5,0.024245719767145076,0.21449853136053348,0.6990487882119742,0.39964276340023863,0.5159866541300309
4,5,0.0039044991806031163,0.48844503928321265,0.9563117486087322,0.769431706453386,0.6748415817018051
2,5,0.002821835608716861,0.24212746694030496,0.8551056080117037,0.5401905157319167,0.5452091951610922
3,5,0.004996763752321467,0.42847793634735837,0.9332177578586316,0.7441746979022612,0.6365451732796787
4,5,0.015588557879709856,0.45777189391952977,0.7333800527758048,0.6441943286306776,0.6462552127038821
2,4,0.001126999985766182,0.16309294240097139,0.9376108184711115,0.5790420019585487,0.6793848611594626
3,5,0.02393240721829742,0.16981873180516843,0.7856043084532376,0.526642521981601,0.6908037659294876
3,5,0.008491032228856492,0.22644208580313335,0.7253957936270827,0.4797357007882162,0.7105639765029585
3,5,0.0041293340606139775,0.20951573264009937,0.8389756926220548,0.49149818303508525,0.5664752452545061
5,4,0.0010096963712229634,0.19541610680352756,0.8857299605786497,0.38309126790186854,0.5163373752724516
3,5,0.02074723329364907,0.30383660472906465,0.7409838432981102,0.5321651607588913,0.5386288848437133
2,3,0.003420026081145037,0.3642004494369863,0.8215280340801968,0.654113450035074,0.6478829140567464
3,5,0.008037247888106683,0.4310698373354657,0.8054233872809115,0.4627824459188769,0.39386332055444573
3,4,0.013914036205342706,0.35219923185943386,0.692629836334952,0.39691219168876957,0.3689459861596661
3,5,0.011225704404147805,0.3708338432190052,0.790441787069443,0.6204261223673303,0.6710463092450397
3,5,0.005787770299216125,0.24606055321638753,0.9381893186063915,0.7144010606702957,0.7940999207912955
5,5,0.019219056052957338,0.20049414547565553,0.8680695725643534,0.4485932741733789,0.55840013640697
2,5,0.007365665516388958,0.34349684579691403,0.8317215818823052,0.73128440564099,0.6472296118808921
4,4,0.004544002114198382,0.32808746762600904,0.9542221477645891,0.6813907099260887,0.7159302459156844
3,5,0.006819273945488945,0.3448150754165869,0.7923596704864754,0.552002183151807,0.590038835167144
5,5,0.002578000805733319,0.15596440548080953,0.7602614243121699,0.20370925053022743,0.24944148516179665
3,5,0.018077980881583095,0.31679909281310076,0.814353669578906,0.6626456655283108,0.6404394027506033
3,5,0.009246485620854651,0.41454116087819154,0.7405818074490589,0.6897969903136663,0.7093989401903718
3,5,0.0022933765771206167,0.2594442030536732,0.9240415960725792,0.5758401677470488,0.5503621589159566
4,4,0.00513379352967127,0.41385840712295124,0.8291379301209855,0.487484472217944,0.4523255933315484
3,5,0.019853887630336534,0.44621384769210104,0.7101683150913635,0.4896852320929049,0.4084527458267435
