n,p,ak,bk,bs,k0,k1
4,4,0.017482437978035087,0.18341338612999047,0.8706210057081658,0.4910248778832169,0.6570847504876278
5,5,0.035082147782184776,0.2923356871906673,0.7454541558835122,0.4335434905904976,0.46226720600528676
2,4,0.01820659987391554,0.45448693547732555,0.6572026163918064,0.6478741306133761,0.48946639464589176
3,4,0.011959380738419952,0.17648695696423744,0.8510326652839262,0.4095519094124835,0.5242737664723108
3,3,0.002869276557851624,0.3423603321815627,0.8869819138248457,0.6762195614725541,0.7708759471090625
4,5,0.004507325499791242,0.2798991409158435,0.9441187538609312,0.621125651837623,0.5997413408276531
2,5,0.001975733266895466,0.09676135376436648,0.9434082798416714,0.5221505799178053,0.4857427007626052
3,4,0.004894555039317219,0.31420526401430743,0.7923205033100676,0.5413449878284242,0.6393191613411846
3,5,0.01965195084914118,0.3879395702458024,0.6638438655118345,0.48394518334154696,0.44772103140110486
2,5,0.005240501232776139,0.4987632444025531,0.790062135471824,0.7109264783700724,0.4023982807744658
3,3,0.013159548956508237,0.1527677412158931,0.7945631094638279,0.2775600224126766,0.3722041840478994
4,5,0.005026016960521422,0.22415245761377545,0.7559121437579197,0.3937370589429654,0.5207110747411079
3,4,0.005702520468944524,0.4211378090494817,0.858991694120669,0.7189976849714639,0.6858824007607673
3,4,0.016244333578892857,0.328742493336964,0.6542252782692958,0.3651059419143206,0.35081647254986426
3,4,0.03364292885125887,0.45821966541744164,0.674517299611522,0.5875885391938752,0.5284321136578389
4,5,0.020350694371381064,0.1857186421228288,0.7975103626496494,0.5093155473858164,0.754405337952843
3,4,0.00532912913058269,0.4211861381143128,0.8889387235148871,0.5662716938904608,0.49289197162052995
5,5,0.01985985572381719,0.3911660863908398,0.8295304147666938,0.6441681644371728,0.6781473398715863
3,3,0.009856495728672712,0.31525279683853286,0.7849710322201138,0.5039176608429873,0.6034699479155614
5,4,0.038663840591798664,0.2787020639027422,0.7034728999025779,0.5058056144710306,0.6098345955761929
3,5,0.008725519055703818,0.47311080427048785,0.863391960923918,0.7920671717476049,0.7541399579619712
3,5,0.0038233432666274865,0.27089083711992457,0.7699264620110119,0.5037280799943131,0.5921261820444941
2,2,0.0033177187143769676,0.4329614923606015,0.8986892985962736,0.7533898415318283,0.6148808703374453
4,5,0.04614811721335735,0.4247745174869466,0.668011365201827,0.6640132025501824,0.6726537490168873
3,4,0.006116508809561311,0.3403557032662486,0.8662490879944906,0.4719965500468875,0.467931604522001
3,5,0.023580153132803993,0.3658448874448729,0.7736653448551775,0.7026030266664369,0.7936627339818965
2,4,0.005452101878544769,0.3151837855881334,0.7905659766748998,0.5637443914513738,0.5208141613226005
3,4,0.007326689238951999,0.34402823049089215,0.8583839376035736,0.4794545860100345,0.43393431520985065
4,5,0.006445408568398346,0.22420582631521652,0.94754804596068,0.7092632816157016,0.7994220789595787
4,4,0.001909488929634148,0.249238734263662,0.8588905811426699,0.46856436028898046,0.6057565946223596
5,5,0.00519377229182253,0.1556034356796473,0.7669826413537448,0.44089226386550573,0.7530682719453525
2,4,0.004161986571168355,0.16094877084879344,0.8859441097998113,0.5725801909412293,0.6692676404064046
4,4,0.003396266864319745,0.44040437769948476,0.8249779220147313,0.6515192797790927,0.6713421901794587
3,5,0.005701710509754015,0.40072069105643804,0.7906925908167035,0.43734949048749816,0.38502790655961583
2,4,0.008417490392272074,0.33331389467892086,0.8077840458492515,0.6560434543301243,0.5346039723485869
4,5,0.011203797263070896,0.2433139869464344,0.8896948990503164,0.5898175041788655,0.7621129256020487
3,5,0.004453092558014465,0.30392574921605753,0.757966647001518,0.5479451217746855,0.6257628256496472
4,5,0.006568024864120246,0.17975732228228714,0.7806861675300019,0.29788430777891495,0.3588711406869801
5,5,0.01819290080331973,0.17137943678446865,0.8546037093884651,0.5470832519837313,0.7386474102823353
4,2,0.027749044109874225,0.17866787015756364,0.8314367795409806,0.3046145059516481,0.3729083789541377
4,5,0.025086179370817124,0.1352422929231925,0.7624591403448835,0.4649429929772165,0.7772143167085377
2,4,0.0027730923184810753,0.26380573418746206,0.8851972165342058,0.6601080757703828,0.60216712308507
5,4,0.03730487153277968,0.24231600656701413,0.6897851075917594,0.4340080611713528,0.5322233425405765
4,4,0.0093519113806758,0.4170643108278916,0.9272213279264128,0.7257588599515712,0.7210713841390253
4,5,0.006648733425845429,0.37785573800556715,0.9147654032929232,0.6411699137129792,0.6059046068034427
3,5,0.007257860443964491,0.21386306815438783,0.8974556313872587,0.6824594507787622,0.7701916786409377
4,5,0.004573942506262543,0.3493292165763206,0.9310867858664602,0.4586333662916624,0.4571128943667715
5,3,0.009165532518355498,0.28589731040850985,0.8564257646992437,0.5791509324471751,0.7561439919519768
5,5,0.04441946441806532,0.20555889993202148,0.7207040526250941,0.5422478995226119,0.7507293313275043
3,5,0.0051541087999898445,0.20021652732726403,0.8876233743254576,0.5743808790435386,0.616974801316363
