Parameter Set,Count,Mean Duration,Median Duration,CV Duration,Mean Rise,Median Rise,CV Rise,Mean Ratio,Median Ratio
Standard Parameters,159,22.34327705422033,16.760335206704127,0.8398073324897244,14.311355409498129,11.050221004420095,0.913080950241301,0.6327824252620013,0.6411290322580648
Excitable Config 1,118,49.54031284015511,45.20090401808036,0.5954013567693499,30.302300961273463,27.040540810816225,0.5832607778534078,0.6416034475934871,0.6458024917536311
Excitable Config 2,96,65.52964392621186,51.6210324206484,0.7651927374110776,32.81117705687447,28.67057341146821,0.6153594033487938,0.5740964897615922,0.5839433073685738
Excitable Config 3,124,102.01099183273986,74.5014900298006,0.8553565030301796,49.03388390348452,30.930618612372243,1.2017223330784033,0.4992816005663874,0.47276546622196336
Excitable Config 4,216,63.77877557551151,45.315906318126366,0.97243215594415,31.34868252920614,21.395427908558155,1.093706018257209,0.5334674625547607,0.5178384230382891
Excitable Config 5,155,32.82981788668031,24.19048380967621,0.8835228914589279,18.762955904279377,13.360267205344115,0.8699943584062197,0.6005121077606072,0.6235741444866929
Excitable Config 6,180,104.01491363160599,83.15666313326265,0.89368067514906,49.01375805293884,30.670613412268253,1.1474993483574416,0.4670181060604318,0.4065842784024746
Excitable Config 7,231,64.24028913478703,43.180863617272394,0.878563258162549,30.776632848674286,20.210404208084185,1.0289684515732247,0.510414787118154,0.5003947220029321
Excitable Config 8,122,65.46688310815397,53.04106082121643,0.7998541866597195,37.29615575918075,26.6805336106722,0.8772693653048756,0.590857133699299,0.5782362891737919
Excitable Config 9,217,41.57253651985482,34.11068221364428,0.6876624093230078,23.749000325628632,17.840356807136146,0.7938953064698819,0.5742806605021151,0.5787694388100066
Excitable Config 10,55,86.58518624917953,78.5415708314166,0.6076690823827101,48.70515592130024,37.94075881517631,0.7678177270820995,0.5922448222949538,0.5696270458814064
High ComK Basal (2x),232,18.102603431378974,13.63027260545212,0.948717866030492,11.772347515915836,8.600172003440065,0.9942518811851341,0.6537233664401282,0.6607355339693732
High ComK Feedback (1.5x),285,20.438057883964696,14.870297405948122,0.923492844514841,13.865224672914511,9.45018900378011,0.9839985499727869,0.6641118883848321,0.6861969805895023
High ComS Expression (1.5x),250,24.35536710734215,19.185383707674134,0.8027015938812926,16.36132722654453,13.040260805216096,0.8493285442704631,0.6629817178657661,0.6724759615384581
Low ComS Expression (0.75x),120,21.63309932865324,16.660333206664134,0.7895795487130651,14.082448315632979,11.630232604652107,0.7475104261607931,0.659977302488312,0.6728776463262767
