Parameter Set,Median Duration,Duration CV,Median Rise Time,Rise Time CV,Initiation Probability,Total Events
Standard Parameters,16.760335206704127,0.8398073324897244,11.050221004420095,0.913080950241301,3.18,159
Excitable Config 1,45.20090401808036,0.5954013567693499,27.040540810816225,0.5832607778534078,2.36,118
Excitable Config 2,51.6210324206484,0.7651927374110776,28.67057341146821,0.6153594033487938,1.92,96
Excitable Config 3,74.5014900298006,0.8553565030301796,30.930618612372243,1.2017223330784033,2.48,124
Excitable Config 4,45.315906318126366,0.97243215594415,21.395427908558155,1.093706018257209,4.32,216
Excitable Config 5,24.19048380967621,0.8835228914589279,13.360267205344115,0.8699943584062197,3.1,155
Excitable Config 6,83.15666313326265,0.89368067514906,30.670613412268253,1.1474993483574416,3.6,180
Excitable Config 7,43.180863617272394,0.878563258162549,20.210404208084185,1.0289684515732247,4.62,231
Excitable Config 8,53.04106082121643,0.7998541866597195,26.6805336106722,0.8772693653048756,2.44,122
Excitable Config 9,34.11068221364428,0.6876624093230078,17.840356807136146,0.7938953064698819,4.34,217
Excitable Config 10,78.5415708314166,0.6076690823827101,37.94075881517631,0.7678177270820995,1.1,55
High ComK Basal (2x),13.63027260545212,0.948717866030492,8.600172003440065,0.9942518811851341,4.64,232
High ComK Feedback (1.5x),14.870297405948122,0.923492844514841,9.45018900378011,0.9839985499727869,5.7,285
High ComS Expression (1.5x),19.185383707674134,0.8027015938812926,13.040260805216096,0.8493285442704631,5.0,250
Low ComS Expression (0.75x),16.660333206664134,0.7895795487130651,11.630232604652107,0.7475104261607931,2.4,120
