n,p,ak,bk,bs,k0,k1
2,5,0.004893895775409692,0.1125668724418271,0.8776160859651965,0.48716701453732963,0.5581307954300347
3,4,0.019688234436245608,0.1710674405249747,0.7248963895191395,0.383242708557586,0.5792317053306827
5,4,0.008905553869229772,0.22174580577369024,0.7648809440800114,0.4228934409722846,0.5874544338409731
2,4,0.005192399335979424,0.23214215864485427,0.8713993091344798,0.6469090372917325,0.6149985511250347
5,4,0.04143688915751842,0.21923260659576438,0.7015125457686219,0.4194075022366611,0.5293927031989523
3,5,0.02449438440473016,0.43600703972702887,0.7249968509424242,0.5459124091253629,0.45107755160719426
2,5,0.001339462462480085,0.36197100310792896,0.7894355579426919,0.41533879699340065,0.2295414729942723
3,4,0.021167546540793353,0.27661742498103314,0.7344182340578247,0.3877978476228665,0.3698467538179542
5,5,0.013267613325675557,0.15025267125962644,0.7603619982311554,0.3445158069161508,0.5113184273699101
4,5,0.002342725096494319,0.40807696934233617,0.9574639892774979,0.6631096729803041,0.6698841659031651
5,5,0.03074164600737908,0.15949455163313747,0.7061556961839955,0.37162417469766995,0.5249895230041928
4,4,0.028162542433364857,0.21776951526186294,0.7869642148321077,0.4768881985528662,0.6036844461889397
3,5,0.011045817242687106,0.3919159410260163,0.6964213796408683,0.5869683766506909,0.6318759254241799
3,3,0.0065142938751076174,0.36122202291412325,0.794474947305481,0.4810817043498589,0.49580161362961833
5,4,0.023752384445077757,0.40032100169761115,0.8557162075285787,0.7179205004738147,0.7628487153625763
5,5,0.0021250278751518406,0.16061984156372783,0.9156914934636928,0.22461244943418812,0.2621009826497066
5,5,0.02524203869137151,0.07591940695125443,0.7520303126473803,0.24499274492341122,0.3935231047285378
5,5,0.006056036011908105,0.319786186831296,0.7313286327252498,0.5397476884721207,0.6758771174069858
3,3,0.027115907018125558,0.4917380431422702,0.7285101000534112,0.7650426375581967,0.7721652145998557
3,3,0.011656081604844326,0.26250272075650055,0.8491011263317373,0.5823291210302357,0.7787709087287218
4,5,0.02121754445729832,0.2784901528454705,0.7727020938177283,0.602860338563022,0.7368027935655059
3,5,0.014887705107471099,0.30919238005685096,0.6283789535067668,0.41957977228835963,0.4661598916008563
3,4,0.0039013915566446567,0.30782586598162526,0.9232734154407106,0.5942260329510711,0.6074119891943204
4,5,0.005097836941051526,0.1561730198380836,0.8457259675287028,0.27946184305790067,0.35556396322504624
4,3,0.029514148680501152,0.2049082865808915,0.7229545508313381,0.3532072102277143,0.4556706176737036
3,4,0.009044515873230623,0.25099774960842125,0.908023667132675,0.7241067127559355,0.75359314729406
3,4,0.010741859958611318,0.41310706828391275,0.8436121945153923,0.6899115680815948,0.7032219810983074
3,4,0.008991635317756427,0.4153864907815372,0.8925262447015475,0.6381133092054949,0.5635617106351105
4,5,0.026200814710582755,0.1696481097258103,0.7764015377410055,0.4847430815438737,0.675624848896756
3,5,0.004328989115555121,0.39503132364752985,0.8500836424680374,0.6491346075153714,0.5768135403526147
4,4,0.035784118212323475,0.20145633571844268,0.7509231967412601,0.4916913073156138,0.6713389631976083
3,5,0.02150056525038837,0.452671322208575,0.7360511909549114,0.6612269998741206,0.654764297802286
5,3,0.0035715207820339813,0.10494736931337129,0.749854625069639,0.2277605932535934,0.4823398872030808
5,2,0.0034976029888857,0.27899262018516935,0.9983891196390499,0.5762366742157943,0.6985899252180059
3,5,0.015405632681263843,0.39869757009141144,0.799000681288324,0.4772033356860809,0.4282074305862338
3,4,0.031144708776925184,0.4545168205255989,0.7319795689973343,0.6612702326048945,0.6153569828020804
5,5,0.019228699092404624,0.24123432096161773,0.8186360388569034,0.5400167248787642,0.6741941598397743
4,4,0.013009126117382658,0.2898706662943005,0.6477748988498768,0.4974223403313092,0.7091357988442537
4,5,0.01356333987257084,0.20014113501343356,0.9062234179378518,0.6632597532221348,0.765892543740871
3,5,0.005491152103376882,0.49160842239475655,0.6842635693845458,0.6779285635130001,0.6901235686921187
3,4,0.015682674201106733,0.3301672884810486,0.8095198732503552,0.4952917456791052,0.5248821718073612
4,5,0.01888632800512559,0.4708480992182746,0.8538729518588554,0.5889933374790903,0.5119819971970729
3,4,0.018687799634578412,0.28861110701070963,0.667353808147865,0.4174985842763943,0.4914742064330822
3,5,0.007013059754336948,0.48057893421893627,0.8540884848167025,0.5114953626089476,0.39304149097796226
3,5,0.005155926170635063,0.24146505457077444,0.9360462474863969,0.6188670405452932,0.4819211105341488
3,5,0.004777936913588349,0.4680910771110343,0.815023564542277,0.74034508776854,0.7486295815765496
3,4,0.0021663125772323566,0.38632360381738984,0.7977006008558385,0.597570735138976,0.6510699910025339
2,5,0.008540473111279239,0.20787975247363705,0.7879264895489902,0.5358048463039633,0.5640179435973041
5,5,0.018571245817926473,0.08033785254042881,0.784576627744008,0.20715024807470966,0.2801236966164786
2,5,0.0041969635922646355,0.4713445181158903,0.8268715191864107,0.7961124772271415,0.499041272570179
5,4,0.008930266123149701,0.14531757032377185,0.9074955847241134,0.46852300017168735,0.7609424072679898
4,4,0.0020711962807513774,0.30043529106483,0.97468778978355,0.5863279458160818,0.640404600841989
4,5,0.003687667714400646,0.43291665886464115,0.837967154978343,0.6857059028609194,0.728731023769875
5,2,0.026432637454250795,0.08428896071991783,0.8422603148994229,0.28376489232282165,0.6143970498174337
4,5,0.04627564279054429,0.3307409888539961,0.6298629074678816,0.6288333741835714,0.7622355492575168
5,4,0.006326939544765676,0.30748141915683747,0.8673715795787167,0.5352696292116688,0.6360317990630089
3,5,0.010394616999331644,0.4679714445286943,0.843917514420015,0.5026471422823107,0.3451858138678364
3,5,0.006750361834020464,0.29699580100437145,0.9101664688447821,0.7915494101286484,0.7010923727760339
2,5,0.0025855497056421883,0.26394220483859093,0.83239041840502,0.6241956862024334,0.5694154070199575
5,4,0.009875686337613394,0.05218095251375182,0.9063403831378828,0.317743307452956,0.6474817127426972
5,5,0.004427397115638762,0.35570785733231264,0.6392748928928497,0.5890504181695454,0.756586037690903
2,5,0.002590220515605805,0.41510608666910087,0.8883553310002663,0.697856740294779,0.5502841627736942
3,4,0.017456811747347752,0.4140124484197099,0.8251120412891809,0.6057984668660683,0.5028292627079434
4,5,0.03231353925536136,0.22436377739457813,0.7373011362208887,0.5560386075696211,0.7647824452546108
3,4,0.020013626946862668,0.4391143116245825,0.8288996061437754,0.7356911753564059,0.6478685335724097
5,5,0.03548359030481455,0.23777388132150673,0.7315375569575588,0.507051822563408,0.6242761441285423
3,4,0.004515651029045,0.39095794201189515,0.9035775498574943,0.5523482688079044,0.5311653842617112
5,5,0.012912088904281346,0.10342224376115841,0.8879154762951385,0.46162828798855016,0.6988881575935765
5,4,0.012354910654538028,0.14608477081782456,0.8367969942470279,0.3552129194932653,0.5284356720673031
3,5,0.0023852325294838007,0.4106473625592446,0.8632340257402535,0.689949132684282,0.691719726790058
3,5,0.042837568420029136,0.4427839052194396,0.6318871028047696,0.6439166530246403,0.6102346876748272
2,5,0.004739720446320275,0.2704003219618054,0.8106854662649414,0.5236907319019107,0.4711442138718304
3,5,0.0013897127007021883,0.3446406825944831,0.9720447474315155,0.6718717505696223,0.41999522488484625
3,4,0.003319800206000647,0.4442494545908333,0.9187264167680745,0.7698543300935685,0.6375796979540409
3,4,0.0032815952410086002,0.16533119819332848,0.8061952764334392,0.3291113870796377,0.48321309334856527
3,4,0.02500175947679863,0.2403179432240687,0.7612886703437282,0.522264765155277,0.6538590392038661
2,4,0.01552654069960735,0.4747650379717755,0.7504375063012996,0.7895793403029718,0.5711807171768639
2,4,0.0077963954791554265,0.4103214389851829,0.7781430360779872,0.655675756192011,0.4304452582015666
4,5,0.004643996488934002,0.4353261800800578,0.9305711227065885,0.7246982065965453,0.71691021330114
4,5,0.0031990424275620153,0.27808028670465645,0.7648637756095722,0.41757931600100934,0.491836982629085
2,2,0.001453444874368182,0.38728600475340447,0.8591377799760149,0.5850206949927914,0.5268381939895325
3,4,0.03094786858859016,0.35174256598437165,0.7681904301946769,0.7012777772050778,0.7713583699903626
3,4,0.0098314463335291,0.41174391735725885,0.8087055501060315,0.5442558524913705,0.5241133880933211
2,3,0.010624842053051396,0.25581789642331876,0.8198762115459357,0.6613116798540551,0.7652757901964506
3,3,0.004901717824077353,0.2493667051551141,0.7282200086398913,0.38390547398391595,0.5347252410514894
3,4,0.01932615265849916,0.17912079470464654,0.6986755512302855,0.37588529208723154,0.5773044932542617
4,4,0.00291914463542731,0.3700017415392523,0.8157991067793889,0.6546063964367599,0.7894975526585906
5,4,0.006436705550569877,0.17798484534542675,0.7620270873370774,0.4030214010142343,0.662615075296535
3,3,0.0041745805718334155,0.3257254564341727,0.9322804982219429,0.5895843281623911,0.6281431789493008
2,4,0.0024379872380824274,0.2930585868787725,0.8845975506514174,0.6950736558267607,0.5376651698701005
5,5,0.01759992215839311,0.3084287519116676,0.8364022693584107,0.6758662805834734,0.7873172164218001
3,4,0.002443763746369113,0.2950535484387366,0.9128096234876274,0.7007477187415392,0.7265169437381465
3,3,0.025450855698192956,0.3538568503400676,0.7754467886151409,0.5404424316211405,0.5599632509480728
2,3,0.005686538643400729,0.45855655621375246,0.8343073079774996,0.7824629346066889,0.6318431804142586
4,5,0.001822638351266192,0.2888177996236544,0.9658263687744727,0.48356389168666164,0.5476283221315186
3,4,0.01509924381389793,0.36895565704236855,0.8087596598423716,0.6794561603862606,0.74248262868016
3,3,0.002697390451492362,0.2723113916329071,0.9077526941215848,0.4550317216517514,0.5478343354656283
2,5,0.0088994227159661,0.21209385317506008,0.8115475560565115,0.5296337901991635,0.4069636847076537
5,4,0.002758793509398755,0.25313662622640076,0.9548591319617773,0.42470420139979104,0.4672882046825579
3,3,0.007848806410709399,0.44978443721817635,0.9087406511108043,0.6341268289942732,0.5631716546478273
4,4,0.014099582142920872,0.25951923230441076,0.6706634720604453,0.30532093628180484,0.33081200166445235
4,5,0.006875817151520355,0.3798997771007121,0.8013725770901893,0.6766347811570168,0.7642856188951768
3,5,0.005869702671396808,0.17228275557180095,0.8030110697630175,0.32247110086482184,0.405669921473792
3,5,0.014842696769334494,0.11187990826562766,0.7596495856831629,0.2659217806723823,0.34452411186879756
3,4,0.003966451695011657,0.4026760890306265,0.931008589264606,0.6933294275438201,0.6871532308635269
4,4,0.032326360984082474,0.20450978669464692,0.7212616237300918,0.4009378778935393,0.5164300959675846
5,4,0.044804204659571974,0.2970883653394777,0.719621999999227,0.504195493632159,0.5527716480150986
5,4,0.02672136446272514,0.32319051688237316,0.7960171064357214,0.4923139595547939,0.5147439617317098
5,5,0.03528004160814126,0.2484843495292055,0.6920573451440611,0.43392263127349284,0.5082180667521075
2,2,0.004380330555495764,0.34090641066756555,0.8098652687307522,0.4724368861632923,0.42938121421519826
2,5,0.0021163027604643794,0.42724317065691236,0.8714101024375883,0.7177531518385276,0.44639740040711373
5,5,0.00724511331130283,0.07396223222301224,0.8533628520824719,0.24252324668519282,0.3854977647753802
