Parameter Set,Count,Mean Duration,Median Duration,CV Duration,Mean Rise,Median Rise,CV Rise,Mean Ratio,Median Ratio
Standard Parameters,55,13.274083663491458,10.910218204364071,0.7255422647076323,7.32851020656777,5.960119202384021,0.6986382183781183,0.5690019143883298,0.574866310160427
Excitable Config 1,233,28.542459261202392,23.890477809556216,0.6767219334886104,15.166054394049254,12.680253605072096,0.6992139624129022,0.5730017776244772,0.5796737766624831
Excitable Config 2,154,38.41453452445673,30.045600912018244,0.7641325810394908,15.462711851639632,13.060261205224094,0.698177826915207,0.46977947071593723,0.4556677890011246
Excitable Config 3,336,22.650839921560337,18.150363007260147,0.719152068311333,11.122156966948863,8.815176303526066,0.7230885596856998,0.5272276541267176,0.5468349564611696
Excitable Config 4,239,48.65624509142903,38.41076821536433,0.8303951214389956,20.18253754196423,14.870297405948122,0.9346903432653764,0.46343390648665933,0.4347288100639309
Excitable Config 5,81,36.651967607253376,38.11076221524428,0.477573524132961,20.065092659877887,19.540390807816152,0.450417054216581,0.5907083736489844,0.5778045838359469
Excitable Config 6,247,20.52684778391924,18.460369207384133,0.6490649104997591,9.908740684935157,8.610172203444051,0.7560509559033141,0.5084322936588624,0.5158227848101261
Excitable Config 7,35,58.35373850334149,54.80109602192044,0.4221545439513749,28.086276011234506,27.460549210984226,0.3696196525847957,0.5127115712075293,0.49343479558340797
Excitable Config 8,57,36.58476678305495,35.57071141422827,0.49654104068203414,17.898077259790806,16.410328206564145,0.44966447062525944,0.5277482544613862,0.5543997750913687
Excitable Config 9,9,66.54466422661787,82.78165563311265,0.399505690196814,26.643866210657556,28.980579611592248,0.34138406511076347,0.43026659520790483,0.3982334869431639
Excitable Config 10,115,38.00902104998622,34.75069501390027,0.515678591166529,19.331256190341197,18.26036520730412,0.48361853964387685,0.5516425196954184,0.5454201362604083
High ComK Basal (2x),62,9.738420574863111,8.755175103502069,0.5650865800303635,5.515271595754496,5.1301026020520375,0.6362153402342721,0.5577433093226002,0.5774203170075809
High ComK Feedback (1.5x),160,11.774172983459668,10.8302166043321,0.599639606828181,7.065828816576331,6.47512950259005,0.6505624578869218,0.5955584889413796,0.6229328767080318
High ComS Expression (1.5x),190,13.629062054925312,12.495249904998118,0.5966228778127802,7.917684669482866,7.470149402988071,0.5965238279974717,0.590825642463608,0.5962138607892351
Low ComS Expression (0.75x),16,16.230324606492132,15.040300806016148,0.5787704163454621,9.293935878717573,7.7851557031140715,0.6673193034874004,0.5562414490767931,0.5973742631184039
