Parameter Set,Description,n,p,ak,bk,bs,k0,k1
Standard Parameters,Similar to Standard,2,5,0.004,0.07,0.82,0.2,0.222
Excitable Config 1,"Low ComS Hill, High ComK Basal, High ComK Feedback",2,3,0.01038015011079596,0.3388106633674551,0.7987574796268686,0.6466240915991861,0.6060738115820002
Excitable Config 2,High ComK Feedback,2,5,0.004001027108833752,0.44795648106681824,0.7750025870289787,0.5996733088133125,0.4129117230408335
Excitable Config 3,"High ComK Hill, High ComK Basal, High ComK Feedback",4,4,0.03365678488034941,0.22943617198609217,0.688595686621221,0.43383454345461575,0.5717212570485262
Excitable Config 4,"High ComK Hill, High ComK Basal, High ComK Feedback",3,5,0.029763827720683735,0.40714975941804954,0.6686724758282725,0.6178471352596904,0.6095699117998863
Excitable Config 5,"High ComK Hill, High ComK Feedback",3,5,0.003987585532714035,0.19470235414161297,0.9204756219058519,0.42679040664430923,0.4839838485152221
Excitable Config 6,"High ComK Hill, High ComK Basal, High ComK Feedback",4,5,0.015228290812039177,0.24116062305860436,0.757755755245498,0.3438702484767746,0.39522157195691815
Excitable Config 7,"High ComK Hill, High ComK Feedback",3,5,0.0034742594354063034,0.3155273144914813,0.9412180084021537,0.6165252950282709,0.6891231691714921
Excitable Config 8,"High ComK Hill, Low ComS Hill, High ComK Basal, High ComK Feedback",4,3,0.006966523506929658,0.19646197725593417,0.7968987455693839,0.386433358120807,0.5916644306552292
Excitable Config 9,"High ComK Hill, High ComK Basal, High ComK Feedback",4,5,0.007095827601717357,0.3720177285949794,0.8013982234146371,0.6339670186993144,0.7009090859428058
Excitable Config 10,"High ComK Hill, High ComK Basal, High ComK Feedback",5,4,0.014877943064345037,0.21575974800847147,0.8950258761934344,0.49028945186955547,0.6319729280646027
High ComK Basal (2x),High ComK Basal,2,5,0.008,0.07,0.82,0.2,0.222
High ComK Feedback (1.5x),High ComK Feedback,2,5,0.004,0.10500000000000001,0.82,0.2,0.222
High ComS Expression (1.5x),High ComS Expression,2,5,0.004,0.07,1.23,0.2,0.222
Low ComS Expression (0.75x),Low ComS Expression,2,5,0.004,0.07,0.615,0.2,0.222
