Parameter Set,n,p,ak,bk,bs,k0,k1,median_duration,median_rise_time
Excitable Config 1,2,3,0.01038015011079596,0.3388106633674551,0.7987574796268686,0.6466240915991861,0.6060738115820002,23.890477809556216,12.680253605072096
Excitable Config 2,2,5,0.004001027108833752,0.44795648106681824,0.7750025870289787,0.5996733088133125,0.4129117230408335,30.045600912018244,13.060261205224094
Excitable Config 3,4,4,0.03365678488034941,0.22943617198609217,0.688595686621221,0.43383454345461575,0.5717212570485262,18.150363007260147,8.815176303526066
Excitable Config 4,3,5,0.029763827720683735,0.40714975941804954,0.6686724758282725,0.6178471352596904,0.6095699117998863,38.41076821536433,14.870297405948122
Excitable Config 5,3,5,0.003987585532714035,0.19470235414161297,0.9204756219058519,0.42679040664430923,0.4839838485152221,38.11076221524428,19.540390807816152
Excitable Config 6,4,5,0.015228290812039177,0.24116062305860436,0.757755755245498,0.3438702484767746,0.39522157195691815,18.460369207384133,8.610172203444051
Excitable Config 7,3,5,0.0034742594354063034,0.3155273144914813,0.9412180084021537,0.6165252950282709,0.6891231691714921,54.80109602192044,27.460549210984226
Excitable Config 8,4,3,0.006966523506929658,0.19646197725593417,0.7968987455693839,0.386433358120807,0.5916644306552292,35.57071141422827,16.410328206564145
Excitable Config 9,4,5,0.007095827601717357,0.3720177285949794,0.8013982234146371,0.6339670186993144,0.7009090859428058,82.78165563311265,28.980579611592248
Excitable Config 10,5,4,0.014877943064345037,0.21575974800847147,0.8950258761934344,0.49028945186955547,0.6319729280646027,34.75069501390027,18.26036520730412
